Date,Region,Product,Units Sold,Unit Price,Total Sales
2024-02-23,East,Tablet,2,50000,100000
2024-03-10,Central,Headphones,7,15000,105000
2024-03-03,Central,Tablet,9,20000,180000
2024-02-18,East,Headphones,13,7000,91000
2024-03-24,East,Tablet,20,7000,140000
2024-03-20,East,Tablet,14,20000,280000
2024-03-09,South,Monitor,10,20000,200000
2024-01-31,North,Mobile,14,20000,280000
2024-03-21,East,Mobile,11,30000,330000
2024-03-30,North,Mobile,1,20000,20000
2024-03-09,South,Tablet,6,30000,180000
2024-02-09,North,Tablet,18,50000,900000
2024-01-18,North,Monitor,11,7000,77000
2024-03-30,East,Laptop,17,50000,850000
2024-01-11,South,Monitor,9,20000,180000
2024-03-12,East,Mobile,1,7000,7000
2024-01-16,West,Tablet,2,30000,60000
2024-03-20,West,Monitor,8,15000,120000
2024-02-11,Central,Headphones,14,20000,280000
2024-01-02,Central,Headphones,11,30000,330000
2024-02-15,East,Tablet,13,12000,156000
2024-01-18,South,Mobile,3,20000,60000
2024-01-21,South,Monitor,19,20000,380000
2024-02-01,North,Monitor,14,50000,700000
2024-01-22,West,Laptop,4,7000,28000
2024-03-12,East,Mobile,12,12000,144000
2024-02-14,East,Laptop,9,15000,135000
2024-03-02,North,Headphones,15,12000,180000
2024-03-10,West,Laptop,7,50000,350000
2024-03-03,West,Headphones,3,15000,45000
2024-03-24,East,Monitor,8,20000,160000
2024-03-30,South,Monitor,8,30000,240000
2024-02-06,West,Laptop,13,50000,650000
2024-02-15,North,Laptop,11,12000,132000
2024-03-27,East,Laptop,1,20000,20000
2024-01-26,South,Mobile,8,15000,120000
2024-02-26,South,Monitor,14,15000,210000
2024-01-01,Central,Laptop,15,30000,450000
2024-02-24,East,Mobile,18,30000,540000
2024-03-28,East,Monitor,3,12000,36000
2024-03-30,West,Mobile,1,12000,12000
2024-01-10,North,Mobile,3,50000,150000
2024-02-24,South,Mobile,3,20000,60000
2024-03-27,South,Tablet,8,7000,56000
2024-01-26,North,Tablet,10,15000,150000
2024-01-09,East,Tablet,11,20000,220000
2024-03-23,East,Headphones,3,12000,36000
2024-03-15,West,Headphones,18,50000,900000
2024-03-16,West,Laptop,7,50000,350000
2024-02-01,West,Tablet,7,7000,49000
2024-03-22,West,Laptop,4,30000,120000
2024-01-15,Central,Monitor,9,50000,450000
2024-02-20,South,Laptop,17,12000,204000
2024-02-11,Central,Monitor,18,50000,900000
2024-01-15,North,Monitor,17,15000,255000
2024-01-20,North,Mobile,7,50000,350000
2024-03-05,North,Mobile,2,30000,60000
2024-01-26,West,Monitor,10,7000,70000
2024-02-06,South,Monitor,20,12000,240000
2024-03-30,East,Tablet,10,30000,300000
2024-01-01,East,Mobile,16,30000,480000
2024-01-25,North,Headphones,3,20000,60000
2024-02-19,West,Laptop,3,15000,45000
2024-02-18,North,Laptop,3,15000,45000
2024-01-02,Central,Laptop,17,20000,340000
2024-02-06,North,Monitor,11,20000,220000
2024-01-17,North,Mobile,20,15000,300000
2024-02-29,North,Mobile,6,50000,300000
2024-01-10,North,Headphones,9,12000,108000
2024-02-16,North,Headphones,18,50000,900000
2024-03-22,Central,Laptop,11,30000,330000
2024-02-02,North,Tablet,6,7000,42000
2024-03-13,East,Tablet,4,30000,120000
2024-03-10,West,Monitor,20,20000,400000
2024-01-15,South,Laptop,8,7000,56000
2024-03-22,East,Laptop,15,7000,105000
2024-03-27,North,Laptop,20,50000,1000000
2024-01-28,North,Mobile,16,30000,480000
2024-02-09,Central,Mobile,19,12000,228000
2024-03-05,South,Mobile,12,15000,180000
2024-01-30,West,Monitor,15,7000,105000
2024-03-27,East,Headphones,18,20000,360000
2024-02-01,Central,Monitor,11,50000,550000
2024-02-13,North,Headphones,14,12000,168000
2024-01-15,South,Mobile,19,7000,133000
2024-03-07,South,Monitor,9,30000,270000
2024-02-20,South,Mobile,4,7000,28000
2024-03-23,North,Monitor,12,15000,180000
2024-02-19,South,Laptop,1,30000,30000
2024-03-04,South,Laptop,7,30000,210000
2024-02-08,West,Headphones,20,15000,300000
2024-02-17,East,Headphones,4,12000,48000
2024-02-05,West,Headphones,13,20000,260000
2024-01-20,South,Mobile,7,30000,210000
2024-01-08,East,Laptop,1,15000,15000
2024-01-20,East,Tablet,13,20000,260000
2024-03-27,West,Headphones,4,12000,48000
2024-02-08,East,Headphones,16,15000,240000
2024-01-08,Central,Mobile,16,15000,240000
2024-02-21,Central,Headphones,2,7000,14000
2024-02-15,East,Laptop,1,20000,20000
2024-02-07,East,Monitor,9,20000,180000
2024-03-05,East,Laptop,14,50000,700000
2024-03-04,East,Monitor,4,50000,200000
2024-02-27,West,Mobile,5,7000,35000
2024-03-15,East,Laptop,10,50000,500000
2024-03-23,Central,Tablet,12,20000,240000
2024-03-14,East,Mobile,19,50000,950000
2024-01-09,North,Monitor,6,20000,120000
2024-02-01,Central,Monitor,7,15000,105000
2024-01-27,Central,Monitor,1,20000,20000
2024-03-28,East,Tablet,20,15000,300000
2024-01-10,East,Mobile,5,7000,35000
2024-02-03,North,Monitor,16,20000,320000
2024-03-16,West,Headphones,11,20000,220000
2024-03-30,West,Headphones,14,30000,420000
2024-01-20,South,Mobile,6,7000,42000
2024-02-20,East,Tablet,4,20000,80000
2024-01-19,North,Tablet,1,12000,12000
2024-03-08,North,Tablet,9,30000,270000
2024-02-01,East,Monitor,14,15000,210000
2024-01-28,West,Tablet,19,15000,285000
2024-01-08,East,Headphones,6,20000,120000
2024-01-13,Central,Mobile,16,30000,480000
2024-01-08,South,Headphones,8,12000,96000
2024-02-07,East,Monitor,19,12000,228000
2024-02-15,Central,Laptop,15,50000,750000
2024-01-02,East,Headphones,19,30000,570000
2024-02-29,Central,Mobile,7,30000,210000
2024-01-31,West,Laptop,16,30000,480000
2024-01-08,East,Tablet,6,7000,42000
2024-03-18,North,Tablet,14,50000,700000
2024-01-07,East,Tablet,13,20000,260000
2024-01-30,West,Tablet,11,12000,132000
2024-02-09,East,Laptop,3,20000,60000
2024-02-21,East,Laptop,1,30000,30000
2024-01-06,Central,Mobile,7,15000,105000
2024-01-23,Central,Headphones,7,50000,350000
2024-01-18,Central,Laptop,3,7000,21000
2024-01-22,Central,Laptop,10,20000,200000
2024-02-09,South,Mobile,11,7000,77000
2024-02-28,East,Tablet,17,50000,850000
2024-02-03,South,Tablet,10,7000,70000
2024-03-05,East,Mobile,18,7000,126000
2024-03-23,Central,Tablet,15,12000,180000
2024-03-14,Central,Monitor,9,30000,270000
2024-02-03,East,Laptop,8,12000,96000
2024-03-05,West,Headphones,13,7000,91000
2024-03-12,South,Tablet,17,20000,340000
2024-02-11,East,Monitor,11,7000,77000
2024-01-03,Central,Tablet,11,15000,165000
2024-03-15,South,Headphones,11,20000,220000
2024-01-06,South,Mobile,11,12000,132000
2024-02-27,East,Mobile,15,12000,180000
2024-02-25,West,Mobile,16,15000,240000
2024-02-22,East,Monitor,5,50000,250000
2024-03-16,West,Monitor,19,30000,570000
2024-02-19,North,Mobile,18,7000,126000
2024-02-19,South,Monitor,10,30000,300000
2024-01-31,South,Monitor,13,7000,91000
2024-01-18,Central,Headphones,10,15000,150000
2024-01-23,South,Headphones,18,30000,540000
2024-02-26,North,Headphones,7,12000,84000
2024-02-09,North,Monitor,5,15000,75000
2024-02-12,West,Tablet,14,30000,420000
2024-01-13,North,Tablet,7,30000,210000
2024-02-01,Central,Laptop,1,7000,7000
2024-02-14,East,Monitor,1,30000,30000
2024-03-17,North,Tablet,7,30000,210000
2024-03-14,South,Mobile,20,50000,1000000
2024-01-30,West,Monitor,4,7000,28000
2024-03-03,West,Monitor,6,15000,90000
2024-01-19,Central,Tablet,15,7000,105000
2024-02-24,North,Monitor,8,12000,96000
2024-02-16,Central,Headphones,10,15000,150000
2024-03-09,Central,Laptop,18,12000,216000
2024-02-27,Central,Monitor,9,50000,450000
2024-03-25,North,Laptop,8,50000,400000
2024-02-26,East,Headphones,20,12000,240000
2024-03-03,West,Tablet,1,30000,30000
2024-02-07,North,Laptop,11,7000,77000
2024-03-20,South,Monitor,17,30000,510000
2024-01-31,Central,Laptop,16,20000,320000
2024-01-24,East,Headphones,8,15000,120000
2024-02-09,East,Tablet,7,20000,140000
2024-01-08,Central,Mobile,14,12000,168000
2024-02-25,West,Headphones,9,20000,180000
2024-02-07,West,Mobile,18,50000,900000
2024-01-24,West,Headphones,19,20000,380000
2024-01-26,West,Laptop,14,50000,700000
2024-01-21,North,Mobile,15,30000,450000
2024-03-22,North,Headphones,11,7000,77000
2024-03-04,Central,Headphones,12,7000,84000
2024-03-26,North,Laptop,12,50000,600000
2024-03-16,South,Monitor,19,20000,380000
2024-03-22,North,Headphones,3,15000,45000
2024-03-26,North,Mobile,11,15000,165000
2024-01-28,North,Monitor,6,12000,72000
2024-02-08,South,Headphones,8,15000,120000
2024-03-24,North,Tablet,19,30000,570000
